Date_last_updated_AEDT,date,countryname,Confirmed,Deaths,Recovered
3/29/2020 23:54,2020-03-29,El Salvador,24,0,0.0
3/29/2020 23:54,2020-03-29,Equatorial Guinea,12,0,0.0
3/29/2020 23:54,2020-03-29,Eritrea,12,0,0.0
3/29/2020 23:54,2020-03-29,Estonia,679,3,20.0
3/29/2020 23:54,2020-03-29,Eswatini,9,0,0.0
3/29/2020 23:54,2020-03-29,Ethiopia,21,0,1.0
3/29/2020 23:54,2020-03-29,Faeroe Islands,159,0,70.0
3/29/2020 23:54,2020-03-29,Fiji,5,0,0.0
3/29/2020 23:54,2020-03-29,Finland,1240,11,10.0
3/29/2020 23:54,2020-03-29,France,40174,2606,7202.0
3/29/2020 23:54,2020-03-29,French Guiana,43,0,6.0
3/29/2020 23:54,2020-03-29,French Polynesia,30,0,0.0
3/29/2020 23:54,2020-03-29,Gabon,7,1,0.0
3/29/2020 23:54,2020-03-29,Gambia,4,1,0.0
3/29/2020 23:54,2020-03-29,Georgia,91,0,18.0
3/29/2020 23:54,2020-03-29,Germany,62435,541,9211.0
3/29/2020 23:54,2020-03-29,Ghana,152,5,2.0
3/29/2020 23:54,2020-03-29,Gibraltar,65,0,14.0
3/29/2020 23:54,2020-03-29,Greece,1156,39,52.0
3/29/2020 23:54,2020-03-29,Greenland,10,0,2.0
3/29/2020 23:54,2020-03-29,Grenada,9,0,0.0
3/29/2020 23:54,2020-03-29,Guadeloupe,106,4,17.0
3/29/2020 23:54,2020-03-29,Guatemala,34,1,10.0
3/29/2020 23:54,2020-03-29,Guinea,16,0,0.0
3/29/2020 23:54,2020-03-29,Guinea-Bissau,2,0,0.0
3/29/2020 23:54,2020-03-29,Guyana,8,1,0.0
3/29/2020 23:54,2020-03-29,Haiti,15,0,1.0
3/29/2020 23:54,2020-03-29,Honduras,110,3,3.0
3/29/2020 23:54,2020-03-29,Hong Kong,642,4,118.0
3/29/2020 23:54,2020-03-29,Hungary,408,13,34.0
3/29/2020 23:54,2020-03-29,Iceland,1020,2,135.0
3/29/2020 23:54,2020-03-29,India,1024,27,95.0
3/29/2020 23:54,2020-03-29,Indonesia,1285,114,64.0
3/29/2020 23:54,2020-03-29,Iran,38309,2640,12391.0
3/29/2020 23:54,2020-03-29,Iraq,547,42,143.0
3/29/2020 23:54,2020-03-29,Ireland,2615,46,5.0
3/29/2020 23:54,2020-03-29,Isle of Man,42,0,0.0
3/29/2020 23:54,2020-03-29,Israel,4247,15,132.0
3/29/2020 23:54,2020-03-29,Italy,97689,10779,13030.0
3/29/2020 23:54,2020-03-29,Ivory Coast,165,1,4.0
3/29/2020 23:54,2020-03-29,Jamaica,32,1,2.0
3/29/2020 23:54,2020-03-29,Japan,2578,64,1027.0
3/29/2020 23:54,2020-03-29,Jordan,259,3,18.0
3/29/2020 23:54,2020-03-29,Kazakhstan,284,1,20.0
3/29/2020 23:54,2020-03-29,Kenya,42,1,1.0
3/29/2020 23:54,2020-03-29,Kuwait,255,0,67.0
3/29/2020 23:54,2020-03-29,Kyrgyzstan,84,0,0.0
3/29/2020 23:54,2020-03-29,Laos,8,0,0.0
3/29/2020 23:54,2020-03-29,Latvia,347,0,1.0
3/29/2020 23:54,2020-03-29,Lebanon,438,10,30.0
3/29/2020 23:54,2020-03-29,Liberia,3,0,0.0
3/29/2020 23:54,2020-03-29,Libya,8,0,0.0
3/29/2020 23:54,2020-03-29,Liechtenstein,56,0,0.0
3/29/2020 23:54,2020-03-29,Lithuania,460,7,1.0
3/29/2020 23:54,2020-03-29,Luxembourg,1950,21,40.0
3/29/2020 23:54,2020-03-29,MS Zaandam,2,0,0.0
3/29/2020 23:54,2020-03-29,Macau,37,0,10.0
3/29/2020 23:54,2020-03-29,Madagascar,39,0,0.0
3/29/2020 23:54,2020-03-29,Malaysia,2470,35,388.0
3/29/2020 23:54,2020-03-29,Maldives,17,0,13.0
3/29/2020 23:54,2020-03-29,Mali,18,1,0.0
3/29/2020 23:54,2020-03-29,Malta,151,0,2.0
3/29/2020 23:54,2020-03-29,Martinique,93,1,0.0
3/29/2020 23:54,2020-03-29,Mauritania,5,0,2.0
3/29/2020 23:54,2020-03-29,Mauritius,107,3,0.0
3/29/2020 23:54,2020-03-29,Mayotte,63,0,0.0
3/29/2020 23:54,2020-03-29,Mexico,848,16,35.0
3/29/2020 23:54,2020-03-29,Moldova,263,2,2.0
3/29/2020 23:54,2020-03-29,Monaco,46,1,1.0
3/29/2020 23:54,2020-03-29,Mongolia,12,0,0.0
3/29/2020 23:54,2020-03-29,Montenegro,85,1,0.0
