Confirmed,Deaths,Province/State,Country/Region,Recovered,Last Update
42,0,,Venezuela,0.0,3/20/2020 18:27
41,3,,Ukraine,1.0,3/20/2020 18:27
40,1,,Burkina Faso,4.0,3/20/2020 18:27
39,0,,New Zealand,0.0,3/20/2020 18:27
38,0,,Senegal,2.0,3/20/2020 18:27
33,0,,Uzbekistan,0.0,3/20/2020 18:27
32,1,,Martinique,0.0,3/20/2020 18:27
28,0,,Liechtenstein,0.0,3/20/2020 18:27
28,0,,Reunion,0.0,3/20/2020 18:27
24,0,,Afghanistan,1.0,3/20/2020 18:27
24,0,,Honduras,0.0,3/20/2020 18:27
20,1,,Bangladesh,3.0,3/20/2020 18:27
20,0,,Cameroon,2.0,3/20/2020 18:27
18,0,,DRC,0.0,3/20/2020 18:27
17,0,Macau,Macau,10.0,3/20/2020 18:27
17,0,,Rwanda,0.0,3/20/2020 18:27
16,1,,Cuba,0.0,3/20/2020 18:27
16,1,,Jamaica,2.0,3/20/2020 18:27
16,0,,Bolivia,0.0,3/20/2020 18:27
16,0,,Ghana,0.0,3/20/2020 18:27
15,1,,Guyana,0.0,3/20/2020 18:27
15,0,,French Guiana,0.0,3/20/2020 18:27
14,0,,Guam,0.0,3/20/2020 18:27
14,0,,Montenegro,0.0,3/20/2020 18:27
14,0,,Puerto Rico,0.0,3/20/2020 18:27
13,0,,Maldives,2.0,3/20/2020 18:27
13,0,,Paraguay,0.0,3/20/2020 18:27
12,1,,Guatemala,0.0,3/20/2020 18:27
12,0,,Nigeria,1.0,3/20/2020 18:27
12,0,,Channel Islands,0.0,3/20/2020 18:27
12,0,,Mauritius,0.0,3/20/2020 18:27
11,0,,Monaco,0.0,3/20/2020 18:27
11,0,,French Polynesia,0.0,3/20/2020 18:27
10,0,,Gibraltar,2.0,3/20/2020 18:27
9,0,,Ivory Coast,1.0,3/20/2020 18:27
9,0,,Ethiopia,0.0,3/20/2020 18:27
9,0,,Togo,0.0,3/20/2020 18:27
9,0,,Trinidad and Tobago,0.0,3/20/2020 18:27
7,0,,Kenya,0.0,3/20/2020 18:27
7,0,,Seychelles,0.0,3/20/2020 18:27
6,0,,Equatorial Guinea,0.0,3/20/2020 18:27
6,0,,Kyrgyzstan,0.0,3/20/2020 18:27
6,0,,Mayotte,0.0,3/20/2020 18:27
6,0,,Mongolia,0.0,3/20/2020 18:27
6,0,,Tanzania,0.0,3/20/2020 18:27
5,0,,Aruba,1.0,3/20/2020 18:27
5,0,,Barbados,0.0,3/20/2020 18:27
4,0,,Bahamas,0.0,3/20/2020 18:27
4,0,,Saint Martin,0.0,3/20/2020 18:27
4,0,,Suriname,0.0,3/20/2020 18:27
3,1,,Cayman Islands,0.0,3/20/2020 18:27
3,1,,Curacao,0.0,3/20/2020 18:27
3,1,,Gabon,0.0,3/20/2020 18:27
3,0,,CAR,0.0,3/20/2020 18:27
3,0,,Congo,0.0,3/20/2020 18:27
3,0,,Madagascar,0.0,3/20/2020 18:27
3,0,,Namibia,0.0,3/20/2020 18:27
3,0,,St. Barth,0.0,3/20/2020 18:27
3,0,,U.S. Virgin Islands,0.0,3/20/2020 18:27
2,1,,Sudan,0.0,3/20/2020 18:27
2,0,,Benin,0.0,3/20/2020 18:27
2,0,,Bermuda,0.0,3/20/2020 18:27
2,0,,Bhutan,0.0,3/20/2020 18:27
2,0,,Greenland,0.0,3/20/2020 18:27
2,0,,Guinea,0.0,3/20/2020 18:27
2,0,,Haiti,0.0,3/20/2020 18:27
2,0,,Isle of Man,0.0,3/20/2020 18:27
2,0,,Liberia,0.0,3/20/2020 18:27
2,0,,Mauritania,0.0,3/20/2020 18:27
2,0,,New Caledonia,0.0,3/20/2020 18:27
2,0,,Nicaragua,0.0,3/20/2020 18:27
2,0,,Saint Lucia,0.0,3/20/2020 18:27
2,0,,Zambia,0.0,3/20/2020 18:27
1,0,,Nepal,1.0,3/20/2020 18:27
1,0,,Angola,0.0,3/20/2020 18:27
1,0,,Antigua and Barbuda,0.0,3/20/2020 18:27
1,0,,Cabo Verde,0.0,3/20/2020 18:27
1,0,,Chad,0.0,3/20/2020 18:27
1,0,,Djibouti,0.0,3/20/2020 18:27
1,0,,El Salvador,0.0,3/20/2020 18:27
1,0,,Fiji,0.0,3/20/2020 18:27
1,0,,Gambia,0.0,3/20/2020 18:27
1,0,,Vatican City,0.0,3/20/2020 18:27
1,0,,Montserrat,0.0,3/20/2020 18:27
1,0,,Niger,0.0,3/20/2020 18:27
1,0,,Papua New Guinea,0.0,3/20/2020 18:27
1,0,,St. Vincent Grenadines,0.0,3/20/2020 18:27
1,0,,Sint Maarten,0.0,3/20/2020 18:27
1,0,,Somalia,0.0,3/20/2020 18:27
1,0,,Eswatini,0.0,3/20/2020 18:27
1,0,,Zimbabwe,0.0,3/20/2020 18:27
